%	819_845
''	354
of	37_52_104_120_134_215_231_422_494_504_547_602_660_688_772_864_883
off	66
officially	45
ok	343
old	428
olympics	550
on	377_735_777_792
one	230
opening	545
oppose	142
or	751
other	303
out	309_672
owner	739
party	30_40_123
pattern	476
period	853
philadelphia	44
piert	448
place	586
plan	440_483
police	196
political	578
popularity	863
pray	368
preference	737
prepare	555
president	152_433_536_573
presidential	25_56_118
priest	180_325
principle	687
product	869
profit	825
prosecutor	209_227
protect	652
put	92
quarter	839
quarterly	823
question	292
range	482
recall	816
receive	762
refugee	497_654
regulator	802
reject	618
release	882
repatriate	657
report	449
reposition	560
representative	89
require	285
reveal	830
reverse	877
rio	549
rival	61
rooted	474
rouen	185
round	65
rouseffe	538
row	842
rule	78_109
sale	833
same	852
sanders	64_98
say	137_156_317_340_453_465_539_580_604_641
scandal	698
scheme	798
second	129_559_838
secretary	51
see	334_384
seeker	675
sell	722_745_848
senator	49_97
september	888
service	249
settlement	693
several	632
severe	171
she	59_81_540_552_577_582
shoot	197
shortly	783
should	606
shout	403
side	597
since	270
situation	528
so	170
so-called	264
something	404
speak	173_398_630
spirit	103
spokesman	569
stadium	566
stand	589
standard	760
start	396_485
state	53_266_637
states	34_683
still	375
such	310
support	523
supposedly	301
surveillance	305
suspend	75_107_534
syria	268
tag	289
tagging	503
take	557
technology	812
telephone	519
televise	159
temer	575
terrorism	194
test	795
than	849
that	93_161_229_284_318_341_359_466_581_720_785_831_872
the	3_18_32_38_47_55_67_72_86_102_108_117_121_135_145_150_162_175_179_199_203_207_217_223_226_232_247_259_263_277_324_385_431_469_480_533_544_548_562_571_588_599_621_636_661_665_681_695_706_731_773_797_811_817_822_827_837_841_851_861_865_873_879_884
then	382
there	126
they	335_360_402_501_623_736_746_753
think	358
this	1
threat	164
three	659
ticket	26
time	346
to	22_74_94_106_192_246_257_261_321_397_417_471_512_516_522_556_609_646_743_749_755_764_790
try	256_416
twice	255
two	176_200
two-liter	713
under	279_302
union	649
united	33_682
unity	105
up	763
violence	443_478
violent	505_527
volkswagen	696_716_787
vw	750
war	628
we	345_350_409_456
wear	286
week	667
well-known	245
when	332
which	651
whose	612
wide	481
will	410_484_489_541_740_781
willis	701_808
with	387_757_843
woman	20_445_457_495_524
worry	859
would	583
year	253_487_855
you	370_406_412
young	243
